"","frtn","rf"
"1989-07-03",0.004538578,0.0003162698
"1989-07-05",0.002949297,0.0003087302
"1989-07-06",0.01057373,0.0003083333
"1989-07-07",0.006810302,0.000306746
"1989-07-10",0.005349895,0.0003075397
"1989-07-11",0.003302954,0.0003079365
"1989-07-12",0.0005486801,0.000306746
"1989-07-13",0.005849379,0.0003083333
"1989-07-14",0.001938454,0.0003111111
"1989-07-17",-0.003143894,0.0003142857
"1989-07-18",0.01334304,0.0003138889
"1989-07-19",-0.006463969,0.0003146825
"1989-07-20",0.007289157,0.0003162698
"1989-07-21",-0.006518749,0.0003222222
"1989-07-24",0.0007825668,0.0003214286
"1989-07-25",0.01263158,0.0003186508
"1989-07-26",0.01176121,0.000318254
"1989-07-27",0.0006458052,0.0003134921
"1989-07-28",0.01161699,0.0003119048
"1989-07-31",-0.006611762,0.0003095238
"1989-08-01",0.001809902,0.0003027778
"1989-08-02",0.001282126,0.0003027778
"1989-08-03",-0.002211746,0.0003031746
"1989-08-04",0.01609987,0.0003123016
"1989-08-07",-5.740858e-05,0.0003154762
"1989-08-08",-0.006774601,0.0003150794
"1989-08-09",0.003930636,0.0003138889
"1989-08-10",-0.009960848,0.0003119048
"1989-08-11",-0.004768828,0.000315873
"1989-08-14",0.004966984,0.0003198413
"1989-08-15",0.002849169,0.0003186508
"1989-08-16",-0.003362904,0.0003150794
"1989-08-17",0.004712316,0.0003126984
"1989-08-18",-0.01534453,0.0003119048
"1989-08-21",0.001646575,0.0003142857
"1989-08-22",0.0104503,0.0003194444
"1989-08-23",0.01992912,0.0003174603
"1989-08-24",-0.00273442,0.000315873
"1989-08-25",0.004626985,0.000315873
"1989-08-28",-0.00631148,0.0003166667
"1989-08-29",0.002460517,0.0003134921
"1989-08-30",0.002397397,0.0003123016
"1989-08-31",0.006662491,0.0003130952
"1989-09-01",-0.003224347,0.0003119048
"1989-09-05",-0.009250326,0.0003126984
"1989-09-06",-0.002463054,0.0003103175
"1989-09-07",0.001320701,0.0003095238
"1989-09-08",-0.003039339,0.0003087302
"1989-09-11",0.003163647,0.0003051587
"1989-09-12",-0.009174312,0.000302381
"1989-09-13",-0.006539352,0.0003011905
"1989-09-14",0.005650376,0.0003007937
"1989-09-15",0.004981464,0.0002988095
"1989-09-18",-0.0003458213,0.0003019841
"1989-09-19",-0.0001153137,0.0003039683
"1989-09-20",-0.002133549,0.0003099206
"1989-09-21",0.004045074,0.0003107143
"1989-09-22",-0.008,0.0003079365
"1989-09-25",0.0004641448,0.0003103175
"1989-09-26",0.002319647,0.0003079365
"1989-09-27",0.01029854,0.0003107143
"1989-09-28",0.001718016,0.0003123016
